-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cudnn::cnn::conv2d_grouped_direct_kernel<false,...         0.00%       0.000us         0.00%       0.000us       0.000us      62.208us         0.08%      62.208us       2.393us            26  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us      61.921us         0.08%      61.921us       4.423us            14  
gather_points_kernel_fast(int, int, int, int, float ...         0.00%       0.000us         0.00%       0.000us       0.000us      44.992us         0.06%      44.992us       0.937us            48  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      41.954us         0.06%      41.954us       0.999us            42  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.008us         0.04%      27.008us       0.643us            42  
void cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float,...         0.00%       0.000us         0.00%       0.000us       0.000us      20.001us         0.03%      20.001us       1.429us            14  
                        difflow3d/cuda_graph_input_copy         0.00%       0.000us         0.00%       0.000us       0.000us      19.008us         0.03%      19.008us       3.802us             5  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      15.166us         0.02%      15.166us       1.264us            12  
                                            aten::copy_         0.03%      22.658us         0.10%      71.964us       7.196us      12.574us         0.02%      12.574us       1.257us            10  
                                            aten::fill_         0.03%      23.276us         0.08%      60.013us       4.001us      12.419us         0.02%      12.419us       0.828us            15  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.242us         0.01%      10.242us       0.854us            12  
                                          ProfilerStep*         0.10%      69.644us        11.96%       8.567ms       1.713ms       0.000us         0.00%      24.993us       4.999us             5  
                        difflow3d/cuda_graph_input_copy         0.12%      83.022us         0.25%     181.176us      36.235us       0.000us         0.00%      16.223us       3.245us             5  
                                        cudaMemcpyAsync         0.07%      49.306us         0.07%      49.306us       4.931us       0.000us         0.00%       0.000us       0.000us            10  
                                       cudaLaunchKernel         0.05%      36.737us         0.05%      36.737us       2.449us       0.000us         0.00%       0.000us       0.000us            15  
                            difflow3d/cuda_graph_replay         0.12%      87.423us        11.61%       8.316ms       1.663ms       0.000us         0.00%       8.770us       1.754us             5  
                                  cudaStreamIsCapturing         0.00%       2.424us         0.00%       2.424us       0.242us       0.000us         0.00%       0.000us       0.000us            10  
                                        cudaGraphLaunch         9.77%       6.998ms        11.44%       8.192ms       1.638ms       0.000us         0.00%       0.000us       0.000us             5  
                                   cudaDriverGetVersion         0.00%       0.222us         0.00%       0.222us       0.044us       0.000us         0.00%       0.000us       0.000us             5  
                                    Command Buffer Full         1.67%       1.194ms         1.67%       1.194ms       1.194ms       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaDeviceSynchronize        88.04%      63.042ms        88.04%      63.042ms      63.042ms       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 71.609ms
Self CUDA time total: 74.536ms
