-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void implicit_convolve_sgemm<float, float, 512, 6, 8...         0.00%       0.000us         0.00%       0.000us       0.000us       1.778ms         3.27%       1.778ms      19.760us            90  
              difflow/recurrent/group_combined_geometry         0.00%       0.000us         0.00%       0.000us       0.000us       1.740ms         3.19%       1.740ms      28.995us            60  
                                           aten::linear         0.10%     114.911us         1.31%       1.508ms      25.138us       0.000us         0.00%       1.697ms      28.287us            60  
                                            aten::addmm         0.51%     582.900us         1.06%       1.215ms      20.245us       1.697ms         3.12%       1.697ms      28.287us            60  
void at::native::mbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.633ms         3.00%       1.633ms      13.610us           120  
void implicit_convolve_sgemm<float, float, 128, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us       1.602ms         2.94%       1.602ms       8.012us           200  
                              difflow/encoder/level4_64         0.96%       1.107ms         3.48%       4.002ms     400.222us       0.000us         0.00%       1.578ms     157.807us            10  
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us       1.538ms         2.82%       1.538ms      19.221us            80  
                                              aten::cat         1.02%       1.168ms         1.65%       1.891ms       6.635us       1.538ms         2.82%       1.538ms       5.395us           285  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.429ms         2.62%       1.429ms       9.854us           145  
              difflow/recurrent/group_combined_features         1.15%       1.324ms         2.63%       3.018ms      33.534us       0.000us         0.00%       1.423ms      15.806us            90  
                                              aten::mul         1.56%       1.793ms         2.77%       3.185ms       5.096us       1.402ms         2.57%       1.402ms       2.243us           625  
void furthest_point_sampling_kernel<512u>(int, int, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.354ms         2.48%       1.354ms     135.351us            10  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.313ms         2.41%       1.313ms      10.943us           120  
                                              aten::sum         2.34%       2.685ms         3.79%       4.351ms       6.085us       1.286ms         2.36%       1.286ms       1.798us           715  
                                      aten::leaky_relu_         0.72%     832.831us         1.66%       1.905ms       3.968us       1.286ms         2.36%       1.286ms       2.678us           480  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.286ms         2.36%       1.286ms       2.678us           480  
           difflow/recurrent/prepare_diffusion_self_knn         0.14%     157.598us         2.32%       2.667ms     177.809us       0.000us         0.00%       1.263ms      84.216us            15  
                         difflow/diffusion_gru/self_knn         0.49%     563.884us         2.18%       2.510ms     167.303us       0.000us         0.00%       1.263ms      84.216us            15  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.029ms         1.89%       1.029ms       1.595us           645  
void sgemm_largek_lds64<true, false, 5, 5, 4, 4, 4, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.016ms         1.87%       1.016ms      11.293us            90  
                           difflow/upsample/prepare_3nn         0.81%     925.739us         2.83%       3.254ms     216.917us       0.000us         0.00%       1.002ms      66.805us            15  
                       difflow/coarse_l3/flow_estimator         0.94%       1.082ms         3.51%       4.029ms     805.795us       0.000us         0.00%     973.061us     194.612us             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     963.840us         1.77%     963.840us       2.295us           420  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     897.698us         1.65%     897.698us      25.649us            35  
                                       aten::max_pool2d         0.07%      84.461us         0.61%     698.123us       6.649us       0.000us         0.00%     806.498us       7.681us           105  
                          aten::max_pool2d_with_indices         0.32%     367.731us         0.53%     613.662us       5.844us     806.498us         1.48%     806.498us       7.681us           105  
void at::native::(anonymous namespace)::max_pool_for...         0.00%       0.000us         0.00%       0.000us       0.000us     806.498us         1.48%     806.498us       7.681us           105  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us     796.037us         1.46%     796.037us      10.614us            75  
void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_...         0.00%       0.000us         0.00%       0.000us       0.000us     773.665us         1.42%     773.665us       7.737us           100  
                                               aten::to         0.23%     266.824us         3.31%       3.806ms       3.033us       0.000us         0.00%     743.201us       0.592us          1255  
                                         aten::_to_copy         0.51%     584.880us         3.08%       3.540ms       6.321us       0.000us         0.00%     743.201us       1.327us           560  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     743.201us         1.36%     743.201us       1.327us           560  
