-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      97.828us         0.18%      97.828us       1.304us            75  
                                            aten::clamp         0.30%     339.033us         0.51%     591.729us       5.636us      97.600us         0.18%      97.600us       0.930us           105  
                                             aten::sqrt         0.16%     184.236us         0.33%     380.715us       4.230us      92.963us         0.17%      92.963us       1.033us            90  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      92.963us         0.17%      92.963us       1.033us            90  
void at::native::mbtopk::fill<unsigned int, unsigned...         0.00%       0.000us         0.00%       0.000us       0.000us      87.784us         0.16%      87.784us       0.732us           120  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      78.111us         0.14%      78.111us       0.868us            90  
                                          aten::normal_         0.16%     185.145us         0.32%     366.333us       6.106us      67.835us         0.12%      67.835us       1.131us            60  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      67.835us         0.12%      67.835us       1.131us            60  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      63.330us         0.12%      63.330us       2.111us            30  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      63.264us         0.12%      63.264us       1.054us            60  
             difflow/recurrent/combine_neighbor_indices         0.00%       0.000us         0.00%       0.000us       0.000us      63.264us         0.12%      63.264us       1.054us            60  
void cudnn::cnn::kern_precompute_indices<false>(int*...         0.00%       0.000us         0.00%       0.000us       0.000us      60.994us         0.11%      60.994us       0.762us            80  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      59.167us         0.11%      59.167us       0.986us            60  
void cublasLt::epilogue::impl::globalKernel<8, 32, f...         0.00%       0.000us         0.00%       0.000us       0.000us      54.115us         0.10%      54.115us       1.203us            45  
                   difflow/recurrent/new_feature_concat         0.00%       0.000us         0.00%       0.000us       0.000us      52.708us         0.10%      52.708us       1.757us            30  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us      44.096us         0.08%      44.096us       4.410us            10  
                                        GatherOperation         0.22%     251.219us         0.35%     399.803us       9.995us      40.703us         0.07%      40.703us       1.018us            40  
gather_points_kernel_fast(int, int, int, int, float ...         0.00%       0.000us         0.00%       0.000us       0.000us      40.703us         0.07%      40.703us       1.018us            40  
void implicit_convolve_sgemm<float, float, 1024, 6, ...         0.00%       0.000us         0.00%       0.000us       0.000us      38.463us         0.07%      38.463us       3.846us            10  
                                             aten::tanh         0.07%      85.893us         0.14%     161.247us       5.375us      30.431us         0.06%      30.431us       1.014us            30  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.431us         0.06%      30.431us       1.014us            30  
