-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
           difflow/recurrent/prepare_diffusion_self_knn         0.13%     153.507us         2.24%       2.621ms     174.737us       0.000us         0.00%       1.202ms      80.119us            15  
                         difflow/diffusion_gru/self_knn         0.47%     551.005us         2.11%       2.468ms     164.503us       0.000us         0.00%       1.202ms      80.119us            15  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.119ms         2.34%       1.119ms       3.390us           330  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.027ms         2.15%       1.027ms       1.592us           645  
                              difflow/encoder/level4_64         0.94%       1.105ms         3.41%       3.993ms     399.262us       0.000us         0.00%       1.015ms     101.537us            10  
                           difflow/upsample/prepare_3nn         0.79%     921.002us         2.78%       3.249ms     216.585us       0.000us         0.00%       1.010ms      67.329us            15  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     962.081us         2.01%     962.081us       2.291us           420  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     919.680us         1.92%     919.680us      15.328us            60  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     914.494us         1.91%     914.494us       9.145us           100  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     825.571us         1.73%     825.571us       8.256us           100  
                       difflow/coarse_l3/flow_estimator         0.91%       1.067ms         3.38%       3.952ms     790.496us       0.000us         0.00%     809.543us     161.909us             5  
                                       aten::max_pool2d         0.07%      84.486us         0.59%     693.653us       6.606us       0.000us         0.00%     801.726us       7.635us           105  
